key_mlp,rank,layer,head,component,ct_rescue
11,1,10,5,L10H5,0.04339439621785779
11,2,10,2,L10H2,0.03883547026936596
11,3,9,5,L9H5,0.03794174223411373
11,4,11,6,L11H6,0.033953779354328084
11,5,11,5,L11H5,0.017444856283141408
11,6,2,15,L2H15,0.012133404975984252
11,7,7,9,L7H9,0.010926179042676676
11,8,11,10,L11H10,0.010833067864906454
11,9,6,8,L6H8,0.009854004150483764
11,10,10,1,L10H1,0.009770351212199158
11,11,11,2,L11H2,0.009167165291018575
11,12,10,14,L10H14,0.008945980450002278
11,13,10,11,L10H11,0.008797317016415396
11,14,11,1,L11H1,0.008259614066379761
11,15,9,3,L9H3,0.008193708774520081
11,16,9,2,L9H2,0.0073424621326169115
11,17,10,15,L10H15,0.006722625435852447
11,18,8,14,L8H14,0.006472137643069753
11,19,7,7,L7H7,0.0062103903875119215
11,20,3,12,L3H12,0.005712087561444479
11,21,11,7,L11H7,0.005543327186165792
11,22,7,3,L7H3,0.005116161776752004
11,23,8,3,L8H3,0.0047370398916849465
11,24,7,8,L7H8,0.004665524494357198
11,25,7,0,L7H0,0.004598317349829295
11,26,11,15,L11H15,0.004473019663880362
11,27,7,5,L7H5,0.00398674534588328
11,28,4,11,L4H11,0.0038454089222885735
11,29,9,10,L9H10,0.0034524289573111266
11,30,5,12,L5H12,0.0032476848218497834
11,31,11,9,L11H9,0.0032230517486244725
11,32,5,13,L5H13,0.0030401436293996387
22,1,20,5,L20H5,0.027231672915016658
22,2,21,12,L21H12,0.02689982405522967
22,3,21,1,L21H1,0.025656732480700384
22,4,17,8,L17H8,0.02224807659300365
22,5,17,2,L17H2,0.01901034320273054
22,6,16,13,L16H13,0.015551000833511242
22,7,15,4,L15H4,0.011934210614460317
22,8,16,8,L16H8,0.011262016325462088
22,9,13,3,L13H3,0.007463106294957611
22,10,13,6,L13H6,0.007127857789760661
22,11,16,5,L16H5,0.006583322839039174
22,12,20,14,L20H14,0.006559780458124553
22,13,16,7,L16H7,0.006520640559312785
22,14,21,10,L21H10,0.0061954906800898435
22,15,11,5,L11H5,0.0058672878800368755
22,16,17,9,L17H9,0.005784634409881084
22,17,18,2,L18H2,0.005554854869842529
22,18,12,5,L12H5,0.005331070684805206
22,19,19,8,L19H8,0.00503644492568045
22,20,11,9,L11H9,0.004732355111982667
22,21,22,9,L22H9,0.004717042533362803
22,22,21,2,L21H2,0.004495025407977304
22,23,12,3,L12H3,0.00432587832939324
22,24,19,5,L19H5,0.004210837730547201
22,25,15,9,L15H9,0.00409339768130601
22,26,14,13,L14H13,0.003553346889774933
22,27,15,15,L15H15,0.0032976211571111858
22,28,18,7,L18H7,0.0032275777037551467
22,29,19,13,L19H13,0.003223254549794108
22,30,9,13,L9H13,0.0031973879511763004
22,31,11,4,L11H4,0.003177732229232788
22,32,17,15,L17H15,0.0030365462710217894
26,1,24,6,L24H6,0.04023033598574194
26,2,22,7,L22H7,0.03043165439512674
26,3,20,14,L20H14,0.02340931136433666
26,4,24,14,L24H14,0.020793216257560587
26,5,26,15,L26H15,0.02067307800781437
26,6,26,10,L26H10,0.01836766338929896
26,7,17,1,L17H1,0.01634033932918444
26,8,17,12,L17H12,0.014892229219762299
26,9,15,5,L15H5,0.012981914892429058
26,10,18,14,L18H14,0.012892441051762127
26,11,17,8,L17H8,0.011745659679901321
26,12,26,9,L26H9,0.010142460828874156
26,13,17,2,L17H2,0.00992440595859434
26,14,21,1,L21H1,0.009805190853956203
26,15,20,5,L20H5,0.009423365316739818
26,16,21,10,L21H10,0.009332747721090606
26,17,22,12,L22H12,0.009082648085384837
26,18,23,6,L23H6,0.008119880062777751
26,19,21,0,L21H0,0.007452622419450439
26,20,16,9,L16H9,0.00717715519230544
26,21,26,5,L26H5,0.006972898070405131
26,22,19,1,L19H1,0.006972683639061228
26,23,17,14,L17H14,0.005856498712446645
26,24,8,11,L8H11,0.00553827024087683
26,25,13,10,L13H10,0.0055196895831970405
26,26,16,4,L16H4,0.005408148213130626
26,27,14,0,L14H0,0.005350828170776367
26,28,21,2,L21H2,0.005156844854354858
26,29,9,7,L9H7,0.0050186587543024075
26,30,23,3,L23H3,0.004984311214307424
26,31,14,12,L14H12,0.004957806773302154
26,32,24,7,L24H7,0.0049372773344925625
27,1,24,6,L24H6,0.1139864089285455
27,2,21,1,L21H1,0.09964723994092234
27,3,17,8,L17H8,0.0912304386133101
27,4,21,12,L21H12,0.08410246234114571
27,5,20,5,L20H5,0.06541019859837316
27,6,16,13,L16H13,0.048572131409877595
27,7,23,6,L23H6,0.04160410710951179
27,8,17,2,L17H2,0.041061575819806406
27,9,19,8,L19H8,0.037212465231011516
27,10,20,14,L20H14,0.02612737911503482
27,11,16,7,L16H7,0.023380279904458567
27,12,26,10,L26H10,0.021696552270796143
27,13,26,0,L26H0,0.02048795325000119
27,14,15,5,L15H5,0.01905430308202405
27,15,18,7,L18H7,0.017722801100917063
27,16,18,15,L18H15,0.017678136142288636
27,17,23,5,L23H5,0.016370312469761616
27,18,19,5,L19H5,0.01601394574816628
27,19,16,4,L16H4,0.013869987391843974
27,20,11,1,L11H1,0.01364502674195811
27,21,17,11,L17H11,0.013631826493798127
27,22,14,0,L14H0,0.013276729641891083
27,23,15,9,L15H9,0.012245949448608684
27,24,16,5,L16H5,0.012116056026482025
27,25,13,13,L13H13,0.011609624435261923
27,26,14,15,L14H15,0.011458295147593334
27,27,10,5,L10H5,0.011247764273387473
27,28,19,2,L19H2,0.010780513286590465
27,29,25,13,L25H13,0.010559514528367564
27,30,16,9,L16H9,0.010534892721874023
27,31,12,13,L12H13,0.010189822534235393
27,32,22,1,L22H1,0.009693467035526093
