src,dst,edge_type,weight,src_depth,dst_depth
MLP27,LOGITS,mlp_to_logits,0.1924667881756294,0,-1
L24H6,MLP27,head_to_mlp,0.1152050295254079,0,0
L21H1,MLP27,head_to_mlp,0.10034009051032183,0,0
L17H8,MLP27,head_to_mlp,0.09524177996123712,0,0
L21H12,MLP27,head_to_mlp,0.09293401786466915,0,0
L20H5,MLP27,head_to_mlp,0.06986110457559902,0,0
L16H13,MLP27,head_to_mlp,0.04709219460080305,0,0
L23H6,MLP27,head_to_mlp,0.04653544215167438,0,0
L17H2,MLP27,head_to_mlp,0.045144231581106475,0,0
L19H8,MLP27,head_to_mlp,0.044196866270972524,0,0
L20H14,MLP27,head_to_mlp,0.03464709694792578,0,0
L26H10,MLP27,head_to_mlp,0.026937922326529806,0,0
L16H7,MLP27,head_to_mlp,0.02633066039259835,0,0
L26H0,MLP27,head_to_mlp,0.025372066875783417,0,0
L15H5,MLP27,head_to_mlp,0.023274102588978995,0,0
L18H7,MLP27,head_to_mlp,0.0230798899400525,0,0
L23H5,MLP27,head_to_mlp,0.02205529082112201,0,0
L18H15,MLP27,head_to_mlp,0.02058869563951715,0,0
L19H5,MLP27,head_to_mlp,0.02004713910381961,0,0
L11H1,MLP27,head_to_mlp,0.01975938023590451,0,0
L17H11,MLP27,head_to_mlp,0.01943666833203006,0,0
L16H5,MLP27,head_to_mlp,0.016995232643150726,0,0
L13H13,MLP27,head_to_mlp,0.016600093100129,0,0
L25H13,MLP27,head_to_mlp,0.016530331315063873,0,0
L12H13,MLP27,head_to_mlp,0.01624503877104766,0,0
MLP8,MLP27,mlp_to_mlp,0.0355973527198884,1,0
MLP4,MLP27,mlp_to_mlp,0.028931366234290934,1,0
MLP8,LOGITS,mlp_to_logits,0.0216345510831693,1,-1
L7H13,MLP8,head_to_mlp,0.03894834184065088,1,1
L8H14,MLP8,head_to_mlp,0.030088791760002787,1,1
L6H0,MLP8,head_to_mlp,0.02369303238101128,1,1
L3H15,MLP8,head_to_mlp,0.020300816471983785,1,1
L5H15,MLP8,head_to_mlp,0.019885364102154246,1,1
L5H12,MLP8,head_to_mlp,0.018942545099956187,1,1
L3H14,MLP8,head_to_mlp,0.01803402202885329,1,1
L6H9,MLP8,head_to_mlp,0.016610644939469177,1,1
L0H15,MLP8,head_to_mlp,0.016514455399862182,1,1
L8H1,MLP8,head_to_mlp,0.01600288835967456,1,1
MLP4,MLP8,mlp_to_mlp,0.04966617066685752,2,1
MLP6,MLP8,mlp_to_mlp,0.04231550344606738,2,1
MLP4,LOGITS,mlp_to_logits,0.0295570892531698,1,-1
L3H0,MLP4,head_to_mlp,0.012833558931583111,1,1
L4H9,MLP4,head_to_mlp,0.011683582532696524,1,1
L0H8,MLP4,head_to_mlp,0.011361527733686483,1,1
L0H6,MLP4,head_to_mlp,0.01083207711940859,1,1
L2H14,MLP4,head_to_mlp,0.010641132912984852,1,1
L2H15,MLP4,head_to_mlp,0.009730492423220438,1,1
L0H15,MLP4,head_to_mlp,0.008674211618377003,1,1
L0H0,MLP4,head_to_mlp,0.008222915777346018,1,1
L1H13,MLP4,head_to_mlp,0.007999343116108837,1,1
L2H9,MLP4,head_to_mlp,0.007618345865389231,1,1
MLP1,MLP4,mlp_to_mlp,0.011181048503736135,2,1
MLP0,MLP4,mlp_to_mlp,0.009249394259801758,2,1
L3H14,MLP6,head_to_mlp,0.024027972686581522,2,2
L4H0,MLP6,head_to_mlp,0.01839983681353119,2,2
L1H4,MLP6,head_to_mlp,0.01602020205520993,2,2
L4H11,MLP6,head_to_mlp,0.015548848524326253,2,2
L6H1,MLP6,head_to_mlp,0.015216627498952362,2,2
L6H9,MLP6,head_to_mlp,0.014946614096804423,2,2
L1H13,MLP6,head_to_mlp,0.014579832553863414,2,2
L3H1,MLP6,head_to_mlp,0.01418831217579719,2,2
L0H15,MLP6,head_to_mlp,0.014006733894348256,2,2
L1H12,MLP6,head_to_mlp,0.013954451898249176,2,2
MLP4,MLP6,mlp_to_mlp,0.04254941678628699,3,2
MLP3,MLP6,mlp_to_mlp,0.019941032659716806,3,2
L0H4,MLP1,head_to_mlp,0.012605813218326212,2,2
L0H10,MLP1,head_to_mlp,0.011792125498376382,2,2
L1H6,MLP1,head_to_mlp,0.011407308462189403,2,2
L0H9,MLP1,head_to_mlp,0.010148171971483988,2,2
L1H3,MLP1,head_to_mlp,0.009635731941316283,2,2
L0H15,MLP1,head_to_mlp,0.009480880527961588,2,2
L1H11,MLP1,head_to_mlp,0.009329837269899333,2,2
L1H10,MLP1,head_to_mlp,0.009314832890905955,2,2
L0H12,MLP1,head_to_mlp,0.009229553181950734,2,2
L1H2,MLP1,head_to_mlp,0.009189634061441243,2,2
MLP0,MLP1,mlp_to_mlp,0.012714991482292715,3,2
L0H6,MLP0,head_to_mlp,0.011147155994322255,2,2
L0H11,MLP0,head_to_mlp,0.011025377163072947,2,2
L0H1,MLP0,head_to_mlp,0.010675793740807515,2,2
L0H8,MLP0,head_to_mlp,0.01035894853312791,2,2
L0H7,MLP0,head_to_mlp,0.0079073687879051,2,2
L0H10,MLP0,head_to_mlp,0.007528087714823384,2,2
L0H3,MLP0,head_to_mlp,0.006466217157317433,2,2
L0H0,MLP0,head_to_mlp,0.006297796237759501,2,2
