src,dst,edge_type,weight,src_depth,dst_depth
MLP27,LOGITS,mlp_to_logits,0.1924667881756294,0,-1
L24H6,MLP27,head_to_mlp,0.1152050295254079,0,0
L21H1,MLP27,head_to_mlp,0.10034009051032183,0,0
L17H8,MLP27,head_to_mlp,0.09524177996123712,0,0
L21H12,MLP27,head_to_mlp,0.09293401786466915,0,0
L20H5,MLP27,head_to_mlp,0.06986110457559902,0,0
L16H13,MLP27,head_to_mlp,0.04709219460080305,0,0
L23H6,MLP27,head_to_mlp,0.04653544215167438,0,0
L17H2,MLP27,head_to_mlp,0.045144231581106475,0,0
L19H8,MLP27,head_to_mlp,0.044196866270972524,0,0
L20H14,MLP27,head_to_mlp,0.03464709694792578,0,0
L26H10,MLP27,head_to_mlp,0.026937922326529806,0,0
L16H7,MLP27,head_to_mlp,0.02633066039259835,0,0
L26H0,MLP27,head_to_mlp,0.025372066875783417,0,0
L15H5,MLP27,head_to_mlp,0.023274102588978995,0,0
L18H7,MLP27,head_to_mlp,0.0230798899400525,0,0
L23H5,MLP27,head_to_mlp,0.02205529082112201,0,0
L18H15,MLP27,head_to_mlp,0.02058869563951715,0,0
L19H5,MLP27,head_to_mlp,0.02004713910381961,0,0
L11H1,MLP27,head_to_mlp,0.01975938023590451,0,0
L17H11,MLP27,head_to_mlp,0.01943666833203006,0,0
L16H5,MLP27,head_to_mlp,0.016995232643150726,0,0
L13H13,MLP27,head_to_mlp,0.016600093100129,0,0
L25H13,MLP27,head_to_mlp,0.016530331315063873,0,0
L12H13,MLP27,head_to_mlp,0.01624503877104766,0,0
MLP22,MLP27,mlp_to_mlp,0.02693692431217276,1,0
MLP25,MLP27,mlp_to_mlp,0.009826119353131713,1,0
MLP22,LOGITS,mlp_to_logits,0.0349236465081935,1,-1
L21H12,MLP22,head_to_mlp,0.03978010394224302,1,1
L20H5,MLP22,head_to_mlp,0.03292404006167149,1,1
L17H8,MLP22,head_to_mlp,0.029477637715455973,1,1
L21H1,MLP22,head_to_mlp,0.027127751853407822,1,1
L17H2,MLP22,head_to_mlp,0.0237251600114311,1,1
L15H4,MLP22,head_to_mlp,0.01863266345931258,1,1
L20H14,MLP22,head_to_mlp,0.01692952615458776,1,1
L19H8,MLP22,head_to_mlp,0.01690646533559015,1,1
L16H8,MLP22,head_to_mlp,0.015512573646335959,1,1
L16H13,MLP22,head_to_mlp,0.014647395509045258,1,1
MLP20,MLP22,mlp_to_mlp,0.024857000606815838,2,1
MLP15,MLP22,mlp_to_mlp,0.019503523663776723,2,1
MLP13,MLP22,mlp_to_mlp,0.01735940212156717,2,1
L11H9,MLP25,head_to_mlp,0.015753842708540966,1,1
L25H2,MLP25,head_to_mlp,0.01457749852320045,1,1
L23H5,MLP25,head_to_mlp,0.014375092779717824,1,1
L6H6,MLP25,head_to_mlp,0.014347973393231017,1,1
L0H2,MLP25,head_to_mlp,0.01424031722836372,1,1
L11H11,MLP25,head_to_mlp,0.01418426705569742,1,1
L1H5,MLP25,head_to_mlp,0.013706334480425242,1,1
L6H1,MLP25,head_to_mlp,0.013590051633555644,1,1
L0H7,MLP25,head_to_mlp,0.013472430589722473,1,1
L5H4,MLP25,head_to_mlp,0.01277938339768403,1,1
MLP15,MLP25,mlp_to_mlp,0.029715189119664753,2,1
MLP12,MLP25,mlp_to_mlp,0.017151158030440317,2,1
MLP24,MLP25,mlp_to_mlp,0.016759987284497457,2,1
