node,node_type,layer,depth,is_root
LOGITS,logits,27,-1,False
MLP12,mlp,12,0,False
MLP13,mlp,13,0,False
MLP15,mlp,15,0,False
MLP20,mlp,20,0,False
MLP22,mlp,22,1,False
MLP24,mlp,24,0,False
MLP25,mlp,25,1,False
MLP27,mlp,27,0,True
L0H2,head,0,-1,False
L0H7,head,0,-1,False
L11H1,head,11,-1,False
L11H11,head,11,-1,False
L11H9,head,11,-1,False
L12H13,head,12,-1,False
L13H13,head,13,-1,False
L15H4,head,15,-1,False
L15H5,head,15,-1,False
L16H13,head,16,-1,False
L16H5,head,16,-1,False
L16H7,head,16,-1,False
L16H8,head,16,-1,False
L17H11,head,17,-1,False
L17H2,head,17,-1,False
L17H8,head,17,-1,False
L18H15,head,18,-1,False
L18H7,head,18,-1,False
L19H5,head,19,-1,False
L19H8,head,19,-1,False
L1H5,head,1,-1,False
L20H14,head,20,-1,False
L20H5,head,20,-1,False
L21H1,head,21,-1,False
L21H12,head,21,-1,False
L23H5,head,23,-1,False
L23H6,head,23,-1,False
L24H6,head,24,-1,False
L25H13,head,25,-1,False
L25H2,head,25,-1,False
L26H0,head,26,-1,False
L26H10,head,26,-1,False
L5H4,head,5,-1,False
L6H1,head,6,-1,False
L6H6,head,6,-1,False
