node,node_type,layer,depth,is_root
LOGITS,logits,27,-1,False
MLP0,mlp,0,2,False
MLP1,mlp,1,2,False
MLP3,mlp,3,0,False
MLP4,mlp,4,1,False
MLP6,mlp,6,2,False
MLP8,mlp,8,1,False
MLP27,mlp,27,0,True
L0H0,head,0,-1,False
L0H1,head,0,-1,False
L0H10,head,0,-1,False
L0H11,head,0,-1,False
L0H12,head,0,-1,False
L0H15,head,0,-1,False
L0H3,head,0,-1,False
L0H4,head,0,-1,False
L0H6,head,0,-1,False
L0H7,head,0,-1,False
L0H8,head,0,-1,False
L0H9,head,0,-1,False
L11H1,head,11,-1,False
L12H13,head,12,-1,False
L13H13,head,13,-1,False
L15H5,head,15,-1,False
L16H13,head,16,-1,False
L16H5,head,16,-1,False
L16H7,head,16,-1,False
L17H11,head,17,-1,False
L17H2,head,17,-1,False
L17H8,head,17,-1,False
L18H15,head,18,-1,False
L18H7,head,18,-1,False
L19H5,head,19,-1,False
L19H8,head,19,-1,False
L1H10,head,1,-1,False
L1H11,head,1,-1,False
L1H12,head,1,-1,False
L1H13,head,1,-1,False
L1H2,head,1,-1,False
L1H3,head,1,-1,False
L1H4,head,1,-1,False
L1H6,head,1,-1,False
L20H14,head,20,-1,False
L20H5,head,20,-1,False
L21H1,head,21,-1,False
L21H12,head,21,-1,False
L23H5,head,23,-1,False
L23H6,head,23,-1,False
L24H6,head,24,-1,False
L25H13,head,25,-1,False
L26H0,head,26,-1,False
L26H10,head,26,-1,False
L2H14,head,2,-1,False
L2H15,head,2,-1,False
L2H9,head,2,-1,False
L3H0,head,3,-1,False
L3H1,head,3,-1,False
L3H14,head,3,-1,False
L3H15,head,3,-1,False
L4H0,head,4,-1,False
L4H11,head,4,-1,False
L4H9,head,4,-1,False
L5H12,head,5,-1,False
L5H15,head,5,-1,False
L6H0,head,6,-1,False
L6H1,head,6,-1,False
L6H9,head,6,-1,False
L7H13,head,7,-1,False
L8H1,head,8,-1,False
L8H14,head,8,-1,False
