q,idx,L17H8,L24H6,L21H12,L21H1,L20H5,L16H13,L17H2,L19H8,L23H6,L20H14,L18H15,L16H5,MLP27,MLP26,MLP11,MLP22,MLP4,MLP3
1,0,0.2684326171875,0.1898193359375,0.296630859375,0.273193359375,0.1575927734375,0.072021484375,0.1083984375,0.095458984375,0.11083984375,0.0908203125,0.109619140625,0.046875,0.19482421875,0.087890625,0.20166015625,0.056884765625,0.070068359375,0.0546875
2,1,0.25732421875,0.20703125,0.208984375,0.16552734375,0.083984375,0.0712890625,0.0791015625,0.060546875,0.05615234375,0.06982421875,0.03466796875,0.033203125,0.31689453125,0.0478515625,0.07177734375,0.0078125,0.00927734375,0.0107421875
3,2,0.41259765625,0.4462890625,0.392822265625,0.31591796875,0.22607421875,0.1533203125,0.234375,0.13232421875,0.1298828125,0.189453125,0.16845703125,0.09033203125,0.3154296875,0.17041015625,0.06298828125,0.091796875,0.076171875,0.05029296875
4,3,0.06982421875,0.02490234375,0.06201171875,0.05419921875,0.05810546875,0.01611328125,0.03564453125,0.02392578125,0.015625,0.02099609375,0.02392578125,0.0068359375,0.06298828125,0.03662109375,0.0244140625,-0.00244140625,0.00439453125,0.01025390625
5,4,0.19580078125,0.4052734375,0.21630859375,0.2099609375,0.14013671875,0.09521484375,0.10205078125,0.072265625,0.07470703125,0.07080078125,0.07958984375,0.0380859375,0.454833984375,0.0302734375,0.08203125,0.00146484375,0.01953125,0.01171875
6,5,0.08740234375,0.02490234375,0.05126953125,0.0439453125,0.03955078125,0.03466796875,0.0478515625,0.02001953125,0.01806640625,0.04638671875,0.04052734375,0.00439453125,0.01220703125,0.046875,0.029296875,0.01025390625,0.0009765625,0.0078125
7,6,0.060546875,0.03515625,0.10791015625,0.04833984375,0.05126953125,0.0419921875,0.021484375,0.03076171875,0.02099609375,0.02783203125,0.005859375,0.00244140625,0.05517578125,0.044921875,0.0380859375,0.00341796875,0.00732421875,0.01611328125
8,7,0.1432037353515625,0.15048980712890625,0.1439056396484375,0.1446075439453125,0.112548828125,0.09698486328125,0.103912353515625,0.09661865234375,0.10394287109375,0.0845947265625,0.0972900390625,0.08685302734375,0.139434814453125,0.0499267578125,0.076416015625,0.08392333984375,0.07391357421875,0.0438232421875
9,8,0.08984375,0.0390625,0.08349609375,0.0595703125,0.0380859375,0.0361328125,0.0498046875,0.029296875,0.01904296875,0.0361328125,0.01123046875,0.00732421875,0.03857421875,0.05859375,0.05126953125,0.00048828125,0.01025390625,0.0126953125
10,9,0.14306640625,0.05029296875,0.1123046875,0.0791015625,0.0693359375,0.05810546875,0.05908203125,0.0576171875,0.0283203125,0.052734375,0.0068359375,0.009765625,0.03955078125,0.08544921875,0.0478515625,-0.00244140625,0.00732421875,0.01318359375
11,10,0.389404296875,0.3193359375,0.25341796875,0.26025390625,0.19384765625,0.19970703125,0.16552734375,0.11083984375,0.08935546875,0.12646484375,0.07177734375,0.05615234375,0.29052734375,0.11865234375,0.13720703125,0.0107421875,0.0498046875,0.04052734375
