component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L17H8,17,8,0.21663466895498884,0.0912304386133101,0.16647297681831735
L24H6,24,6,0.19092949970466339,0.11398640892854556,0.16015226339421623
L21H12,21,12,0.18930091399972032,0.08410246234114577,0.14722153333629048
L21H1,21,1,0.18790283108629835,0.0996472399409224,0.15260059462814796
L20H5,20,5,0.13297577311352987,0.06541019859837321,0.10594954330746721
L16H13,16,13,0.10738942717633598,0.04857213140987765,0.08386250886975265
L17H2,17,2,0.09515878194715921,0.041061575819806406,0.07351989949621808
L19H8,19,8,0.08015283251680982,0.037212465231011516,0.0629766856024905
L23H6,23,6,0.07763106539482023,0.04160410710951179,0.06322028208069685
L20H14,20,14,0.07542378800671279,0.026127379115034932,0.05570522445004164
L18H15,18,15,0.07072237969898598,0.017678136142288747,0.04950468227630708
L16H5,16,5,0.05429036115727781,0.012116056026482025,0.0374206391049595
L15H9,15,9,0.052639379007060394,0.012245949448608795,0.036482007183679756
L17H11,17,11,0.04969984438361197,0.013631826493798238,0.035272637227686476
L18H7,18,7,0.048887895011320404,0.017722801100917063,0.03642185744715907
L15H5,15,5,0.04578134199468098,0.01905430308202416,0.03509052642961825
L16H7,16,7,0.04308734252685453,0.023380279904458567,0.035204517477896144
L19H5,19,5,0.04031162727169879,0.01601394574816639,0.03059255466228583
L16H4,16,4,0.03906126211329208,0.013869987391844085,0.028984752224712883
L13H7,13,7,0.03690306660605647,0.008726096734768096,0.02563227865754112
L11H9,11,9,0.03383348918542628,0.007842309591246766,0.023437017347754475
L19H13,19,13,0.033680098449311635,0.008868444620109162,0.023755436917630643
L13H13,13,13,0.03331087675036459,0.011609624435262034,0.024630375824323567
L15H4,15,4,0.03326444291486974,0.003748366745506826,0.021458012447124575
L12H13,12,13,0.03262240276104067,0.010189822534235504,0.023649370670318602
L19H6,19,6,0.03172204698004377,0.005763742981887421,0.021338725380781232
L25H13,25,13,0.02821958355787324,0.010559514528367564,0.021155555946070968
L17H9,17,9,0.028085103122199473,0.002656909750729075,0.017913825773611315
L15H11,15,11,0.028047989054424072,0.0052400863752133375,0.018924827982739777
L15H15,15,15,0.02758959371869163,0.008065718703153646,0.019780043712476436
L27H15,27,15,0.02652320338458547,-0.0004915704087513628,0.015717293867250737
L13H11,13,11,0.0262702710744811,0.004004769935840424,0.01736407061902483
L26H0,26,0,0.02524464886362965,0.02048795325000119,0.023341970618178266
L23H5,23,5,0.023525137726853607,0.016370312469761616,0.02066320762401681
L14H15,14,15,0.022194134752924866,0.011458295147593445,0.017899798910792297
L11H1,11,1,0.022168334664368072,0.013645026741958222,0.018759011495404133
L11H6,11,6,0.02204894147268155,0.0066535887194842935,0.01589080037140265
L19H2,19,2,0.021545294581389984,0.010780513286590576,0.01723938206347022
L12H3,12,3,0.021377798260712066,0.008389860391616821,0.016182623113073967
L26H15,26,15,0.021178545748315236,0.002675669949229187,0.013777395428680816
L10H5,10,5,0.020142864890214884,0.011247764273387584,0.016584824643483966
L25H5,25,5,0.01960735713563322,0.007130343012693552,0.014616551486457352
L12H14,12,14,0.019139908435868103,0.005004794132418722,0.013485862714488352
L10H2,10,2,0.017607667097231272,0.007505222791578725,0.013566689374970253
L17H12,17,12,0.017229678427300832,0.007508064188608277,0.013341032731823809
L18H8,18,8,0.017117564998021972,0.006464043768440786,0.012856156506189497
L25H10,25,10,0.017080976468760833,0.007509695320594645,0.013252464009494357
L16H6,16,6,0.017008762534071797,0.0035005284518730972,0.011605468901192318
L13H5,13,5,0.01628460607877591,0.0015471468611460981,0.010389622391723984
L14H5,14,5,0.015719985089651,-0.0011259419162098494,0.00898161428730666
L14H0,14,0,0.01552851389094101,0.013276729641891083,0.014627800191321039
L12H5,12,5,0.015364698520520914,0.006011923638785777,0.011623588567826859
L14H8,14,8,0.014894903433032125,-0.000338602356794504,0.008801501117101472
L6H0,6,0,0.014287523380140055,0.007338794993191233,0.011508032025360528
L14H13,14,13,0.014165750363977936,-1.5019643597513621e-05,0.008493442360947755
L18H14,18,14,0.01366016050664387,0.0032246127361204024,0.009485941398434483
L18H11,18,11,0.013010801338568023,0.007705995222417328,0.010888878892107745
L20H10,20,10,0.012171157249590281,0.005278401258515197,0.009414054853160247
L20H6,20,6,0.011935202086844066,0.0008526509854851483,0.0075021816463004985
L19H3,19,3,0.011871857614052073,0.007633345156181193,0.01017645263090372
L17H1,17,1,0.011364821980639261,0.006042412141474274,0.009235858044973266
L15H3,15,3,0.011143618967474955,0.0032001828275075583,0.007966244511487997
L16H8,16,8,0.011091859238903767,0.004791146734865803,0.008571574237288581
L7H4,7,4,0.010062029448951182,0.0018358615840353698,0.006771562302984857
L14H6,14,6,0.009953283682102132,0.0009094244096337079,0.006335739973114762
L7H9,7,9,0.009925047798854614,0.005406375338391611,0.008117578814669412
L20H8,20,8,0.009838896553690857,0.0009059775166395667,0.006265728938870341
L22H1,22,1,0.009748949510295257,0.009693467035526204,0.009726756520387635
L15H14,15,14,0.009628537951446137,0.005185153426193523,0.00785118414134509
L8H14,8,14,0.009531338040421722,-0.0015819792340441285,0.0050860111306353815
