q,p_clean,p_corr,m_clean,m_corr,clean_top1_id,corr_top1_id,clean_top1,corr_top1,clean_hit_tool,corr_non_tool,pair_success
1,0.39990234375,0.017242431640625,-0.140625,3.421875,40,8420,I,Here,False,True,False
2,0.91748046875,0.0240936279296875,2.71875,2.890625,151657,8420,<tool_call>,Here,True,True,True
3,0.7763671875,0.0098419189453125,1.671875,4.03125,151657,8420,<tool_call>,Here,True,True,True
4,0.96826171875,0.1368408203125,4.25,1.375,151657,8420,<tool_call>,Here,True,True,True
5,0.91943359375,0.00234222412109375,2.984375,5.578125,151657,8420,<tool_call>,Here,True,True,True
6,0.95263671875,0.371337890625,3.625,-0.140625,151657,151657,<tool_call>,<tool_call>,True,False,False
7,0.947265625,0.2054443359375,3.171875,1.078125,151657,8420,<tool_call>,Here,True,True,True
8,0.1610107421875,0.00036787986755371094,-1.484375,6.71875,40,1249,I,To,False,True,False
9,0.947265625,0.2261962890625,3.40625,0.984375,151657,8420,<tool_call>,Here,True,True,True
10,0.93408203125,0.190185546875,3.0625,1.078125,151657,8420,<tool_call>,Here,True,True,True
11,0.82470703125,0.0151519775390625,1.796875,3.8125,151657,8420,<tool_call>,Here,True,True,True
12,0.9951171875,0.367431640625,6.09375,-0.359375,151657,151657,<tool_call>,<tool_call>,True,False,False
13,0.92529296875,0.1190185546875,3.1875,1.453125,151657,8420,<tool_call>,Here,True,True,True
14,0.422119140625,0.013763427734375,0.21875,4.03125,151657,8420,<tool_call>,Here,True,True,True
15,0.83544921875,0.0207061767578125,2.015625,3.546875,151657,8420,<tool_call>,Here,True,True,True
16,0.407470703125,0.0068511962890625,0.359375,4.84375,151657,8420,<tool_call>,Here,True,True,True
17,0.7900390625,0.01229095458984375,1.65625,4.203125,151657,8420,<tool_call>,Here,True,True,True
18,0.83984375,0.0594482421875,2.09375,2.4375,151657,8420,<tool_call>,Here,True,True,True
19,0.477783203125,0.0026073455810546875,0.15625,5.28125,151657,8420,<tool_call>,Here,True,True,True
20,0.931640625,0.275146484375,3.0,0.40625,151657,8420,<tool_call>,Here,True,True,True
21,0.935546875,0.0100555419921875,3.546875,4.171875,151657,8420,<tool_call>,Here,True,True,True
22,0.51953125,0.0003955364227294922,0.15625,6.5625,151657,8420,<tool_call>,Here,True,True,True
23,0.7998046875,0.0137939453125,1.703125,3.875,151657,8420,<tool_call>,Here,True,True,True
24,0.990234375,0.92724609375,4.765625,-3.078125,151657,151657,<tool_call>,<tool_call>,True,False,False
25,0.9912109375,0.2042236328125,5.71875,1.03125,151657,8420,<tool_call>,Here,True,True,True
26,0.87548828125,0.040008544921875,2.84375,2.765625,151657,8420,<tool_call>,Here,True,True,True
27,0.199951171875,0.00037550926208496094,-1.046875,7.546875,40,8420,I,Here,False,True,False
28,0.818359375,0.0199737548828125,2.1875,3.625,151657,8420,<tool_call>,Here,True,True,True
29,0.9833984375,0.64794921875,5.09375,-0.953125,151657,151657,<tool_call>,<tool_call>,True,False,False
30,0.947265625,0.08917236328125,3.890625,2.171875,151657,8420,<tool_call>,Here,True,True,True
